business_name,stars,text
abc,3,taste is good but staff is not
xcas,4,really expensive but food is good
dsasa,5,I love this restaurant
?qe,2,bad
?qe,1,bad
qw,3,overal is ok I will come back later
rqwrqw,5,every thing is ok I love it
?eqewr,4,"food is not bad, I thing spend that money is ok"
r?qr,3,nice environment but staff is not
gsdg,4,high price 
tr,1,high price 
?w,2,bad staff but good food
ytr,3,ok to eat with family
?t,5,I love this restaurant
tretye,5,staff and food excellent
?wetew,4,nothing to comment
